College,StudentID,Program,AbilityGroup,Engagement,AI_Assistance_Level,Performance,Cognitive_Load,Retention,Satisfaction
College 1,College1_030,Professional,High,0.721,0.785,86.07,52.51,1,100
College 1,College1_031,Professional,Medium,0.65,0.769,75.24,47.84,1,94.4
College 1,College1_032,Professional,High,0.647,0.793,82.41,58.47,1,98.6
College 1,College1_033,STEM,Medium,0.605,0.648,78.73,49.61,1,91.5
College 1,College1_034,STEM,Medium,0.69,0.836,66.52,52.36,1,97.7
College 1,College1_035,STEM,Medium,0.333,0.822,66.82,59.58,1,99.4
College 1,College1_036,STEM,Medium,0.445,0.801,62.43,63.87,1,90.7
College 1,College1_037,STEM,Medium,0.714,0.383,71.41,47.61,1,85.6
College 1,College1_038,Social Sciences,Medium,0.555,0.618,67.26,56.73,0,84.9
College 1,College1_039,STEM,Medium,0.582,0.276,74.55,65.68,1,83
College 1,College1_040,Professional,High,0.703,0.516,80.28,56.32,1,93.5
College 1,College1_041,STEM,Medium,0.644,0.768,72.16,51.98,1,92.4
College 1,College1_042,Humanities,High,0.892,0.474,80.53,41.98,1,93.8
College 1,College1_043,Social Sciences,Medium,0.78,0.618,78.86,48.81,1,100
College 1,College1_044,Social Sciences,Medium,0.612,0.349,69.1,50.95,0,92.6
College 1,College1_045,Humanities,Medium,0.697,0.796,78.77,48.28,0,100
College 1,College1_046,Humanities,Medium,0.463,0.451,73.57,70.4,1,85.1
College 1,College1_047,Humanities,Medium,0.725,0.564,73.76,50.77,0,82.8
College 1,College1_048,Social Sciences,High,0.705,0.78,81.69,49.24,1,98.5
College 1,College1_049,Humanities,Medium,0.65,0.5,78.91,54.21,1,93.3
College 1,College1_050,Humanities,High,0.743,0.151,88.35,52.87,1,95.3
College 2,College2_001,Professional,Medium,0.605,0.265,69.57,52.35,1,80.2
College 2,College2_002,STEM,Medium,0.556,0.573,73.84,58.72,0,90.9
College 2,College2_003,Humanities,Medium,0.517,0.586,70.4,56.47,1,97
College 2,College2_004,Social Sciences,Medium,0.461,0.521,66.47,62.15,1,90.6
College 2,College2_005,STEM,Medium,0.602,0.521,76.76,53.64,1,86.1
College 2,College2_006,Humanities,Medium,0.524,0.337,67.09,61.58,0,84.2
College 2,College2_007,Humanities,Low,0.393,0.399,59.09,67.66,0,83.9
College 2,College2_008,STEM,Medium,0.515,0.799,75.64,55.68,0,93.5
College 2,College2_009,STEM,Low,0.461,0.728,52.4,60.07,0,86.8
College 2,College2_010,STEM,Medium,0.666,0.438,78.25,47.97,1,97.1
College 2,College2_011,Professional,Medium,0.5,0.624,72.93,60.45,1,96
College 2,College2_012,Social Sciences,Medium,0.758,0.736,75.67,43.5,1,92
College 2,College2_013,Social Sciences,High,0.707,0.547,80.72,51,1,94
College 2,College2_014,STEM,Medium,0.825,0.68,79.23,39.66,0,100
College 2,College2_015,Humanities,Medium,0.421,0.601,68.24,61.14,0,86.6
College 2,College2_016,STEM,High,0.549,0.431,80.24,60.29,1,92.9
College 2,College2_017,STEM,High,0.792,0.468,80.05,48.89,1,92.3
College 2,College2_018,Social Sciences,High,0.803,0.587,83.19,48.25,1,100
College 2,College2_019,Humanities,Medium,0.704,0.827,75.77,50.9,1,96.2
College 2,College2_020,Social Sciences,High,0.862,0.46,81.3,52.16,1,87.2
College 2,College2_021,STEM,Medium,0.677,0.63,77.02,53.86,1,91
College 2,College2_022,Humanities,Medium,0.535,0.548,69.21,60.02,1,88.3
College 2,College2_023,Professional,High,0.702,0.659,83.25,57.14,1,99.4
College 2,College2_024,Humanities,Medium,0.634,0.537,76.8,51.55,0,90.7
College 2,College2_025,STEM,Medium,0.627,0.546,75.39,48.26,1,92.3
College 2,College2_026,Professional,High,0.66,0.516,83.69,49.09,1,90
College 2,College2_027,Humanities,High,0.612,0.52,84.69,55.79,0,91.8
College 2,College2_028,STEM,Medium,0.396,0.699,72.77,66.78,1,94
College 2,College2_029,Humanities,Medium,0.668,0.814,73.96,45.84,1,91
College 2,College2_030,Professional,High,0.902,0.444,89.59,50.51,1,93.5
College 2,College2_031,STEM,Medium,0.63,0.489,70.77,52.2,1,95.6
College 2,College2_032,STEM,Medium,0.523,0.432,68.81,66.02,1,84
College 2,College2_033,Professional,Medium,0.796,0.746,79.24,48.03,1,98.4
College 2,College2_034,Professional,High,0.815,0.917,92.18,38.97,1,100
College 2,College2_035,Professional,High,0.693,0.96,86.05,42.12,1,100
College 2,College2_036,Humanities,Medium,0.518,0.553,63.4,61.39,0,82.8
College 2,College2_037,STEM,Low,0.47,0.749,58.51,57.86,1,96.9
College 2,College2_038,Humanities,Medium,0.529,0.521,77.96,58.44,1,90
College 2,College2_039,Social Sciences,Medium,0.437,0.488,69.9,67.03,1,99.8
College 2,College2_040,STEM,Low,0.423,0.452,50.94,59.09,1,90.5
College 2,College2_041,Humanities,High,0.764,0.723,84.16,38.37,1,100
College 2,College2_042,Humanities,Medium,0.398,0.851,66.24,60.81,0,96
College 2,College2_043,Humanities,Medium,0.78,0.427,70.51,51.44,0,89.9
College 2,College2_044,Social Sciences,Medium,0.56,0.286,64.25,65.11,0,79.4
College 2,College2_045,Social Sciences,High,0.718,0.374,81.29,54.75,1,90
College 2,College2_046,Social Sciences,Medium,0.497,0.469,67.3,54.95,1,82.4
College 2,College2_047,Humanities,Medium,0.624,0.253,61.77,57.08,0,78.8
College 2,College2_048,STEM,Medium,0.574,0.581,79.45,55.43,0,97.4
College 2,College2_049,Social Sciences,Medium,0.764,0.222,79.47,47.24,1,81.8
College 2,College2_050,STEM,High,0.677,0.496,85.34,59.15,1,100
College 3,College3_001,Humanities,Medium,0.513,0.581,60.47,59.84,1,96.8
College 3,College3_002,Humanities,Medium,0.72,0.438,79.34,46.99,1,91.4
College 3,College3_003,Humanities,Low,0.333,0.495,56.65,66.22,0,80.9
College 3,College3_004,Humanities,High,0.782,0.8,81.29,46.58,0,100
College 3,College3_005,Humanities,Medium,0.619,0.756,77.34,55.72,1,100
College 3,College3_006,Humanities,Medium,0.462,0.22,68.33,69.15,1,80.4
College 3,College3_007,Humanities,Medium,0.611,0.534,74.7,45.8,0,90.7
College 3,College3_008,STEM,Medium,0.568,0.606,68.57,55.82,1,87
College 3,College3_009,Social Sciences,High,0.819,0.759,91.49,45.65,1,98
College 3,College3_010,STEM,Low,0.309,0.298,55.12,62.12,1,76.5
College 3,College3_011,STEM,Medium,0.491,0.579,72.08,60.77,0,93
College 3,College3_012,Humanities,Medium,0.556,0.171,67.88,62.34,1,92.8
College 3,College3_013,STEM,Medium,0.589,0.613,67.99,57,1,98.1
College 3,College3_014,Professional,Low,0.413,0.696,52.24,66.01,0,94.6
College 3,College3_015,STEM,Medium,0.591,0.623,64.85,58.1,1,98.5
College 3,College3_016,STEM,High,0.637,0.517,80.28,55.28,1,94.8
College 3,College3_017,Professional,Medium,0.726,0.489,72.3,46.7,0,95.1
College 3,College3_018,Professional,Medium,0.498,0.241,64.89,60.66,1,77.7
College 3,College3_019,Social Sciences,Medium,0.44,0.763,70.38,56.26,1,100
College 3,College3_020,Professional,High,0.79,0.691,82.25,47.62,1,99.3
College 3,College3_021,STEM,Medium,0.688,0.761,72.85,44.8,1,91.9
College 3,College3_022,STEM,Low,0.336,0.722,59.42,63.98,1,99.8
College 3,College3_023,Social Sciences,Medium,0.611,0.799,73.99,50.94,1,100
College 3,College3_024,Humanities,Medium,0.477,0.518,70.55,60.52,0,89.5
College 3,College3_025,Humanities,Medium,0.556,0.261,70.83,56.89,0,83.4
College 3,College3_026,STEM,High,0.65,0.473,82.22,54.96,1,96.7
College 3,College3_027,Humanities,Medium,0.529,0.215,73.73,62.06,0,80.4
College 3,College3_028,Social Sciences,Medium,0.47,0.636,73.86,55.31,1,94.7
College 3,College3_029,STEM,High,0.475,0.116,81.2,62.02,1,88
College 3,College3_030,Professional,Medium,0.608,0.378,67.02,53.41,1,91.1
College 3,College3_031,Professional,Medium,0.487,0.607,68.6,65.61,1,93
College 3,College3_032,Humanities,Medium,0.861,0.482,75.13,40.82,1,82.6
College 3,College3_033,Social Sciences,Medium,0.568,0.577,68.14,56.36,1,82.9
College 3,College3_034,Professional,Medium,0.611,0.531,72.53,54.36,1,99.5
College 3,College3_035,Professional,Medium,0.633,0.255,74.09,58.71,1,81.7
College 3,College3_036,STEM,Medium,0.536,0.614,74.63,65.86,1,97.1
College 3,College3_037,Professional,Medium,0.481,0.616,61.95,67.21,1,83
College 3,College3_038,Social Sciences,Low,0.611,0.561,59.91,59.49,0,83.4
College 3,College3_039,Social Sciences,Medium,0.662,0.392,73.87,52.98,1,84.2
College 3,College3_040,Professional,Medium,0.462,0.349,63.76,62.33,0,72.2
College 3,College3_041,Humanities,Medium,0.342,0.797,63.25,64.89,1,99.3
College 3,College3_042,Social Sciences,Medium,0.641,0.58,66.37,54.73,1,92.5
College 3,College3_043,STEM,Medium,0.577,0.725,78.91,49.35,0,100
College 3,College3_044,Humanities,High,0.817,0.582,82.68,49.86,1,100
College 3,College3_045,Humanities,Medium,0.487,0.465,65.63,68.85,1,85.6
College 3,College3_046,STEM,Medium,0.567,0.159,63.09,61.72,0,79.2
College 3,College3_047,STEM,Medium,0.722,0.781,75.81,47.68,1,99.7
College 3,College3_048,Humanities,Medium,0.535,0.537,77.89,53.27,1,97.2
College 3,College3_049,STEM,Medium,0.411,0.567,68.34,66.29,1,85.2
College 3,College3_050,STEM,Medium,0.586,0.529,72.74,63.59,1,95.3
College 4,College4_001,Humanities,Low,0.492,0.157,59.92,58.8,1,82.7
College 4,College4_002,Professional,High,0.743,0.68,86.78,56.85,1,100
College 4,College4_003,Social Sciences,Medium,0.581,0.243,71.23,64.76,1,93.5
College 4,College4_004,Humanities,Medium,0.587,0.387,66.45,58.83,0,80.2
College 4,College4_005,STEM,Medium,0.732,0.41,71.87,54.79,1,90.5
College 4,College4_006,Social Sciences,High,0.69,0.506,85.12,59.4,1,100
College 4,College4_007,Humanities,Medium,0.648,0.557,69.49,60.11,1,100
College 4,College4_008,STEM,Medium,0.501,0.26,65.36,57.67,1,76.4
College 4,College4_009,Humanities,Medium,0.685,0.247,65.38,64.07,1,77.6
College 4,College4_010,Humanities,Medium,0.54,0.7,61.43,62.1,1,92.2
College 4,College4_011,STEM,Low,0.603,0.393,57.84,59.98,1,84.3
College 4,College4_012,Humanities,Medium,0.68,0.52,78.44,49.57,1,89.8
College 4,College4_013,Humanities,Medium,0.535,0.697,69.34,55.49,0,92.7
College 4,College4_014,STEM,Medium,0.556,0.301,75.67,68.15,0,80.9
College 4,College4_015,Social Sciences,Medium,0.582,0.701,75.18,58.58,1,100
College 4,College4_016,STEM,Medium,0.604,0.633,79.33,52.43,1,91.3
College 4,College4_017,STEM,Medium,0.769,0.452,73.68,51.88,1,96.9
College 4,College4_018,Humanities,Medium,0.66,0.425,76.72,53.46,0,91.6
College 4,College4_019,Professional,Medium,0.241,0.309,61.68,74.27,0,82.2
College 4,College4_020,Social Sciences,Medium,0.546,0.698,72.69,59.84,1,100
College 4,College4_021,STEM,Medium,0.672,0.266,67.27,58.11,1,89
College 4,College4_022,STEM,Medium,0.45,0.788,63.96,62.22,1,96.2
College 4,College4_023,Professional,Medium,0.434,0.405,74.29,61.7,1,90.8
College 4,College4_024,Humanities,Medium,0.635,0.086,65.66,58.07,1,72.5
College 4,College4_025,Humanities,Medium,0.631,0.483,65.4,47.64,1,94.2
College 4,College4_026,STEM,Medium,0.601,0.443,74.35,59.48,0,91.4
College 4,College4_027,Humanities,Medium,0.594,0.504,66.89,49.78,1,79.8
College 4,College4_028,STEM,Medium,0.686,0.483,71.39,48.6,1,89.3
College 4,College4_029,Professional,Medium,0.6,0.285,71.26,59.06,1,86.2
College 4,College4_030,STEM,Low,0.566,0.398,58.81,57.72,0,86.1
College 4,College4_031,Social Sciences,Medium,0.516,0.765,65.29,60.71,0,93.7
College 4,College4_032,STEM,High,0.705,0.571,84.97,50.05,1,98.4
College 4,College4_033,Humanities,Medium,0.732,0.111,68.34,53.94,1,86.3
College 4,College4_034,Humanities,High,0.699,0.713,82.56,41.76,1,99
College 4,College4_035,STEM,High,0.891,0.427,90.32,44.15,0,100
College 4,College4_036,Professional,High,0.797,0.603,86.24,48.72,1,99
College 4,College4_037,STEM,Medium,0.652,0.18,66.14,59.04,0,79.6
College 4,College4_038,Social Sciences,Medium,0.584,0.232,77.21,59.16,1,86.2
College 4,College4_039,Social Sciences,Medium,0.551,0.477,63.43,63.51,1,82.5
College 4,College4_040,Social Sciences,Medium,0.702,0.496,78.41,52.83,0,100
College 4,College4_041,Social Sciences,Medium,0.662,0.266,65.41,50.26,1,83.6
College 4,College4_042,Professional,Medium,0.484,0.401,60.63,62.99,1,82.8
College 4,College4_043,Professional,Medium,0.61,0.201,70.08,55.09,1,82.7
College 4,College4_044,STEM,Medium,0.596,0.327,78.19,65.6,1,89.7
College 4,College4_045,STEM,Medium,0.527,0.418,71.88,53.94,0,89
College 4,College4_046,Social Sciences,High,0.893,0.716,84.3,42.57,1,93.9
College 4,College4_047,Humanities,Medium,0.417,0.372,63.35,67.39,0,80
College 4,College4_048,Social Sciences,Medium,0.464,0.702,73.87,58.63,1,99.8
College 4,College4_049,STEM,Medium,0.612,0.216,73.4,56.96,1,83.3
College 4,College4_050,Professional,Medium,0.524,0.602,75.67,66.91,0,95.6
College 5,College5_001,STEM,High,0.766,0.372,83.3,51.82,1,89.9
College 5,College5_002,STEM,Medium,0.65,0.147,71.62,54.77,1,79.8
College 5,College5_003,Humanities,Medium,0.617,0.809,72.96,48.21,1,96.8
College 5,College5_004,Professional,Medium,0.723,0.108,71.9,50.5,1,77.2
College 5,College5_005,STEM,High,0.662,0.75,81.63,42.97,1,100
College 5,College5_006,STEM,Medium,0.467,0.279,69.67,66.55,1,83.9
College 5,College5_007,STEM,Medium,0.714,0.498,75.37,48.36,1,90.9
College 5,College5_008,Professional,High,0.719,0.57,93.88,51.53,1,98.9
College 5,College5_009,Professional,High,0.674,0.53,86.6,55.68,1,93
College 5,College5_010,STEM,High,0.609,0.792,82.92,56.21,0,100
College 5,College5_011,STEM,Medium,0.583,0.68,75.11,52.14,1,100
College 5,College5_012,STEM,Medium,0.622,0.492,70.45,50.98,1,96.3
College 5,College5_013,STEM,Medium,0.653,0.765,76.52,60.06,1,100
College 5,College5_014,Humanities,Medium,0.701,0.612,76.36,55.42,0,100
College 5,College5_015,STEM,High,0.736,0.644,89.32,50.06,1,96
College 5,College5_016,Professional,High,0.779,0.954,80.82,44.15,0,100
College 5,College5_017,STEM,Medium,0.52,0.576,62.56,61.36,1,91.1
College 5,College5_018,Social Sciences,Medium,0.691,0.76,78.02,47.54,1,100
College 5,College5_019,Humanities,Medium,0.579,0.466,74.56,63.96,0,86.7
College 5,College5_020,Humanities,Medium,0.747,0.436,77.11,52.38,1,87.4
College 5,College5_021,Social Sciences,Medium,0.69,0.2,70.28,57.74,1,77.4
College 5,College5_022,Humanities,Medium,0.741,0.289,77.73,47.96,1,86.1
College 5,College5_023,Professional,Medium,0.697,0.266,77.07,55.29,1,87.8
College 5,College5_024,Professional,Medium,0.669,0.556,66.24,50.14,1,85
College 5,College5_025,STEM,Medium,0.593,0.887,73.47,57,1,100
College 5,College5_026,STEM,Medium,0.464,0.545,66.84,63.73,1,90.6
College 5,College5_027,Humanities,Medium,0.628,0.6,76.05,54.4,1,100
College 5,College5_028,Humanities,Medium,0.455,0.613,65.89,61.54,1,92.3
College 5,College5_029,Humanities,Medium,0.709,0.525,75.94,52.15,0,89.7
College 5,College5_030,Humanities,High,0.624,0.348,80.73,54.76,1,85.4
College 5,College5_031,Humanities,Medium,0.614,0.405,71.97,59.16,0,85
College 5,College5_032,STEM,Medium,0.556,0.576,73.53,55.52,1,100
College 5,College5_033,STEM,Medium,0.524,0.683,74.81,62.73,1,99.2
College 5,College5_034,Professional,Medium,0.654,0.456,70.32,57.47,1,84.8
College 5,College5_035,Professional,High,0.828,0.79,84.59,42.42,0,99.9
College 5,College5_036,Humanities,Medium,0.774,0.83,77.56,48.25,1,100
College 5,College5_037,STEM,Medium,0.698,0.432,65.65,54.2,1,83.5
College 5,College5_038,Social Sciences,Medium,0.583,0.341,72,66.03,1,87.8
College 5,College5_039,STEM,High,0.967,0.773,97.68,35.46,1,100
College 5,College5_040,Professional,Medium,0.442,0.506,72.96,62.14,1,97.7
College 5,College5_041,STEM,High,0.637,0.451,83.99,53.56,1,89.3
College 5,College5_042,Humanities,Medium,0.632,0.813,77.05,45.24,1,100
College 5,College5_043,Professional,Medium,0.452,0.826,70.23,62.69,1,96.7
College 5,College5_044,STEM,High,0.744,0.267,89.19,50.3,0,90.4
College 5,College5_045,Social Sciences,Medium,0.527,0.514,64.05,55.37,0,89.6
College 5,College5_046,STEM,Medium,0.597,0.751,72.45,50.69,1,97
College 5,College5_047,STEM,High,0.82,0.679,82.23,48.36,0,92.6
College 5,College5_048,Social Sciences,High,0.838,0.663,84.3,38.18,1,97
College 5,College5_049,STEM,Medium,0.632,0.61,68.16,56.17,1,95.8
College 5,College5_050,Social Sciences,Medium,0.674,0.445,71.8,47.02,1,83.3
College 6,College6_001,STEM,High,0.721,0.535,80.06,58.7,0,93.5
College 6,College6_002,STEM,Medium,0.569,0.21,74.7,65.04,1,79.4
College 6,College6_003,Social Sciences,Medium,0.408,0.845,60.16,67.07,1,94.3
College 6,College6_004,STEM,Medium,0.602,0.526,71.23,56.04,1,91.4
College 6,College6_005,STEM,Medium,0.615,0.481,74.83,51.46,1,88.8
College 6,College6_006,Social Sciences,Low,0.523,0.773,59.28,53.52,0,89.2
College 6,College6_007,Social Sciences,Medium,0.452,0.621,64.71,59.47,1,86.3
College 6,College6_008,STEM,Medium,0.523,0.546,65.04,54.32,1,83.5
College 6,College6_009,Humanities,Medium,0.523,0.364,69.86,62.16,1,86
College 6,College6_010,Humanities,Medium,0.496,0.316,65.69,58.58,1,89.1
College 6,College6_011,STEM,Medium,0.546,0.432,70.3,67.3,1,88.6
College 6,College6_012,STEM,Medium,0.757,0.517,73.88,45.13,1,94.2
College 6,College6_013,Professional,Medium,0.594,0.43,70.13,58.97,1,90.1
College 6,College6_014,Humanities,Medium,0.555,0.365,69.23,57.05,1,91.2
College 6,College6_015,Humanities,Medium,0.501,0.522,73.11,65.32,1,89.8
College 6,College6_016,STEM,Medium,0.464,0.472,79.68,65.53,1,92.2
College 6,College6_017,Professional,Medium,0.708,0.562,71.73,53.11,1,83.1
College 6,College6_018,STEM,Medium,0.46,0.514,62.88,57.63,1,95.8
College 6,College6_019,Social Sciences,Medium,0.529,0.33,68.11,64.39,1,89.6
College 6,College6_020,Humanities,Medium,0.446,0.495,66.66,61.15,0,94.9
College 6,College6_021,Professional,Medium,0.566,0.488,69.86,60.83,1,92.9
College 6,College6_022,STEM,High,0.576,0.665,80.38,52.44,1,100
College 6,College6_023,Social Sciences,Medium,0.639,0.62,79.01,53.22,1,89
College 6,College6_024,Humanities,Medium,0.461,0.32,67.47,60.54,1,81.3
College 6,College6_025,STEM,Medium,0.295,0.476,67.06,64.46,1,96.4
College 6,College6_026,Social Sciences,Medium,0.642,0.682,78.06,52.79,1,91.9
College 6,College6_027,Humanities,Medium,0.655,0.334,66.13,54.34,0,83.9
College 6,College6_028,Humanities,Medium,0.478,0.677,68.22,57.78,1,89.8
College 6,College6_029,STEM,Low,0.433,0.426,58.18,61.29,1,79.6
College 6,College6_030,Professional,Medium,0.486,0.084,66.86,63.31,0,84.2
College 6,College6_031,Professional,Medium,0.485,0.568,65.04,62.09,0,91.4
College 6,College6_032,Humanities,Medium,0.447,0.462,65.47,68.9,1,95.5
College 6,College6_033,Social Sciences,Medium,0.592,0.444,67.66,60.13,1,90.3
College 6,College6_034,STEM,Medium,0.476,0.257,66.23,59.41,1,81.1
College 6,College6_035,Humanities,Medium,0.529,0.163,61.29,63.57,1,71
College 6,College6_036,Professional,Medium,0.516,0.564,74.9,60.89,0,92.2
College 6,College6_037,Professional,Medium,0.537,0.923,71.83,54.33,1,97.1
College 6,College6_038,Humanities,Medium,0.544,0.413,79.81,57.13,1,94.1
College 6,College6_039,Humanities,Medium,0.662,0.419,72.19,52.53,1,89.8
College 6,College6_040,STEM,Medium,0.678,0.409,76.71,55.15,0,84.4
College 6,College6_041,Humanities,Medium,0.444,0.173,63.11,64.52,1,84
College 6,College6_042,STEM,Medium,0.613,0.455,67.5,62.02,0,78.4
College 6,College6_043,STEM,Medium,0.542,0.209,72.24,54.54,1,80.9
College 6,College6_044,STEM,Low,0.368,0.222,53.91,68.77,0,73.2
College 6,College6_045,Social Sciences,Medium,0.619,0.249,76.16,63.34,1,90.5
College 6,College6_046,Professional,Medium,0.721,0.411,73.35,53.91,1,95.1
College 6,College6_047,Humanities,Medium,0.683,0.673,75.38,54.55,0,100
College 6,College6_048,Social Sciences,Medium,0.802,0.321,66.58,46.93,1,79.3
College 6,College6_049,Social Sciences,Medium,0.363,0.554,64.47,59.1,0,86.7
College 6,College6_050,Professional,Medium,0.558,0.337,74.09,58.55,1,89.2
