College,StudentID,Session,Engagement,Performance,Cognitive_Load,AI_Assistance_Level
College 1,College1_013,8,0.866,92.88,23.37,0.626
College 1,College1_013,9,0.833,78.15,20.85,0.626
College 1,College1_013,10,0.777,83.47,23.6,0.626
College 1,College1_014,1,0.644,75.09,72.65,0.636
College 1,College1_014,2,0.691,72.6,56.34,0.636
College 1,College1_014,3,0.623,71.81,46.41,0.636
College 1,College1_014,4,0.549,71.24,41.57,0.636
College 1,College1_014,5,0.527,66.64,35.75,0.636
College 1,College1_014,6,0.588,71.27,29.04,0.636
College 1,College1_014,7,0.634,78.9,28.53,0.636
College 1,College1_014,8,0.638,72.74,27.95,0.636
College 1,College1_014,9,0.693,80.87,21.77,0.636
College 1,College1_014,10,0.596,68.65,25.25,0.636
College 1,College1_015,1,0.641,76.54,74.41,0.762
College 1,College1_015,2,0.704,86.01,57.99,0.762
College 1,College1_015,3,0.641,77.76,49.56,0.762
College 1,College1_015,4,0.561,72,40.04,0.762
College 1,College1_015,5,0.58,77.05,34.87,0.762
College 1,College1_015,6,0.542,63.18,29.66,0.762
College 1,College1_015,7,0.533,72.54,26.93,0.762
College 1,College1_015,8,0.603,77.82,25.24,0.762
College 1,College1_015,9,0.586,68.06,25.65,0.762
College 1,College1_015,10,0.603,79.34,23.16,0.762
College 1,College1_016,1,0.803,85.94,69.2,0.719
College 1,College1_016,2,0.762,81.27,53.74,0.719
College 1,College1_016,3,0.789,83.8,45.6,0.719
College 1,College1_016,4,0.76,76.87,38.29,0.719
College 1,College1_016,5,0.705,88.68,34.78,0.719
College 1,College1_016,6,0.759,81.85,28.25,0.719
College 1,College1_016,7,0.719,79.97,26.33,0.719
College 1,College1_016,8,0.743,83.55,23.24,0.719
College 1,College1_016,9,0.736,82.25,23.13,0.719
College 1,College1_016,10,0.807,84.38,23.96,0.719
College 1,College1_017,1,0.71,73.66,70.26,0.261
College 1,College1_017,2,0.72,77.79,60.11,0.261
College 1,College1_017,3,0.721,82.47,45.37,0.261
College 1,College1_017,4,0.738,80.33,44.96,0.261
College 1,College1_017,5,0.653,70.94,36.45,0.261
College 1,College1_017,6,0.626,66.37,32.06,0.261
College 1,College1_017,7,0.703,84.57,28.01,0.261
College 1,College1_017,8,0.742,76.22,24.57,0.261
College 1,College1_017,9,0.678,73.16,27.91,0.261
College 1,College1_017,10,0.729,75.32,25.2,0.261
College 1,College1_018,1,0.727,77.69,74.17,0.641
College 1,College1_018,2,0.681,81.7,52.9,0.641
College 1,College1_018,3,0.672,72.32,46.01,0.641
College 1,College1_018,4,0.659,78.52,38.63,0.641
College 1,College1_018,5,0.581,74.92,31.38,0.641
College 1,College1_018,6,0.649,74.38,28.97,0.641
College 1,College1_018,7,0.66,77.41,25.71,0.641
College 1,College1_018,8,0.695,72.67,29.61,0.641
College 1,College1_018,9,0.736,83.23,26.68,0.641
College 1,College1_018,10,0.7,77.18,26.43,0.641
College 1,College1_019,1,0.579,74.64,76.84,0.779
College 1,College1_019,2,0.528,67.65,59.62,0.779
College 1,College1_019,3,0.512,72.46,47.22,0.779
College 1,College1_019,4,0.531,64.88,41.13,0.779
College 1,College1_019,5,0.487,73.83,34.74,0.779
College 1,College1_019,6,0.487,71.59,33.19,0.779
College 1,College1_019,7,0.532,72.77,28.56,0.779
College 1,College1_019,8,0.581,77.87,26.79,0.779
College 1,College1_019,9,0.563,79.8,24.49,0.779
College 1,College1_019,10,0.528,75.62,24.22,0.779
College 1,College1_020,1,0.674,75.69,70.64,0.785
College 1,College1_020,2,0.731,87.99,53.61,0.785
College 1,College1_020,3,0.665,80.61,43.89,0.785
College 1,College1_020,4,0.643,74.52,35.64,0.785
College 1,College1_020,5,0.689,81.39,31.27,0.785
College 1,College1_020,6,0.62,79.62,31.78,0.785
College 1,College1_020,7,0.696,81.68,25.32,0.785
College 1,College1_020,8,0.68,72.15,30.78,0.785
College 1,College1_020,9,0.708,76.83,25.33,0.785
College 1,College1_020,10,0.735,79.93,23.9,0.785
College 1,College1_021,1,0.562,75.63,76.6,0.533
College 1,College1_021,2,0.571,67.46,58.15,0.533
College 1,College1_021,3,0.571,70.28,51.35,0.533
College 1,College1_021,4,0.484,65.35,43.01,0.533
College 1,College1_021,5,0.476,72.52,37.46,0.533
College 1,College1_021,6,0.469,67.23,30.28,0.533
College 1,College1_021,7,0.509,72.38,27.74,0.533
College 1,College1_021,8,0.552,64.23,29.9,0.533
College 1,College1_021,9,0.577,72.35,26.19,0.533
College 1,College1_021,10,0.528,72.64,26.55,0.533
College 1,College1_022,1,0.804,83.86,67.31,0.702
College 1,College1_022,2,0.821,85.95,57.04,0.702
College 1,College1_022,3,0.833,85.69,47.44,0.702
College 1,College1_022,4,0.714,88.96,36.32,0.702
College 1,College1_022,5,0.746,78.06,31.68,0.702
College 1,College1_022,6,0.721,77.33,28.56,0.702
College 1,College1_022,7,0.765,78.96,24.06,0.702
College 1,College1_022,8,0.826,81.95,23.24,0.702
College 1,College1_022,9,0.78,79.59,21.9,0.702
College 1,College1_022,10,0.798,87.68,21.56,0.702
College 1,College1_023,1,0.633,72.54,75.86,0.602
College 1,College1_023,2,0.662,79.98,61.67,0.602
College 1,College1_023,3,0.656,78.24,46.4,0.602
College 1,College1_023,4,0.667,83.41,39.41,0.602
College 1,College1_023,5,0.571,74.04,35.46,0.602
College 1,College1_023,6,0.603,71.73,31.79,0.602
College 1,College1_023,7,0.636,76.98,29.76,0.602
College 1,College1_023,8,0.711,82.42,30.55,0.602
College 1,College1_023,9,0.759,83.47,24.82,0.602
College 1,College1_023,10,0.64,76.84,22.61,0.602
College 1,College1_024,1,0.848,86.5,67.02,0.783
College 1,College1_024,2,0.897,85.39,55.39,0.783
College 1,College1_024,3,0.82,89.49,43.42,0.783
College 1,College1_024,4,0.787,77.16,36.36,0.783
College 1,College1_024,5,0.77,80.26,28.85,0.783
College 1,College1_024,6,0.768,83.89,29.81,0.783
College 1,College1_024,7,0.788,89.57,27.36,0.783
College 1,College1_024,8,0.847,85.66,28.83,0.783
College 1,College1_024,9,0.882,85.28,22.81,0.783
College 1,College1_024,10,0.791,90.94,23.12,0.783
College 1,College1_025,1,0.534,72.38,77.67,0.756
College 1,College1_025,2,0.624,78.5,59.7,0.756
College 1,College1_025,3,0.551,72.01,52.15,0.756
College 1,College1_025,4,0.544,77.8,38.36,0.756
College 1,College1_025,5,0.494,67.08,31.91,0.756
College 1,College1_025,6,0.507,77.6,29.73,0.756
College 1,College1_025,7,0.55,72.17,28.35,0.756
College 1,College1_025,8,0.586,68.19,27.07,0.756
College 1,College1_025,9,0.6,75.09,24.81,0.756
College 1,College1_025,10,0.593,71.52,25.09,0.756
College 1,College1_026,1,0.636,76.62,71.93,0.778
College 1,College1_026,2,0.632,73.64,57.84,0.778
College 1,College1_026,3,0.595,77.36,46.89,0.778
College 1,College1_026,4,0.573,75.15,36.93,0.778
College 1,College1_026,5,0.609,78.76,36.96,0.778
College 1,College1_026,6,0.584,76.62,32.03,0.778
College 1,College1_026,7,0.588,78.42,27.29,0.778
College 1,College1_026,8,0.661,75.37,26.02,0.778
College 1,College1_026,9,0.694,84.29,25.16,0.778
College 1,College1_026,10,0.652,77.92,19.81,0.778
College 1,College1_027,1,0.779,88.05,69.47,0.867
College 1,College1_027,2,0.796,84.35,58.57,0.867
College 1,College1_027,3,0.735,81.05,47.33,0.867
College 1,College1_027,4,0.753,86.1,37.63,0.867
College 1,College1_027,5,0.643,80.19,31.97,0.867
College 1,College1_027,6,0.646,71.41,28.8,0.867
College 1,College1_027,7,0.736,87.68,27.51,0.867
College 1,College1_027,8,0.799,90.16,22.68,0.867
College 1,College1_027,9,0.827,83.39,23.15,0.867
College 1,College1_027,10,0.735,83.33,19.6,0.867
College 1,College1_028,1,0.788,81.99,69.12,0.5
College 1,College1_028,2,0.753,80.6,54.16,0.5
College 1,College1_028,3,0.694,80.33,44.1,0.5
College 1,College1_028,4,0.684,76.73,41.99,0.5
College 1,College1_028,5,0.715,76.14,33.67,0.5
College 1,College1_028,6,0.706,75.97,31.63,0.5
College 1,College1_028,7,0.709,76.63,28.2,0.5
College 1,College1_028,8,0.748,78.52,27.34,0.5
College 1,College1_028,9,0.758,82.01,25.16,0.5
College 1,College1_028,10,0.802,81.29,21.44,0.5
College 1,College1_029,1,0.698,80.47,73.75,0.465
College 1,College1_029,2,0.72,81.77,52.26,0.465
College 1,College1_029,3,0.712,79.23,52.27,0.465
College 1,College1_029,4,0.657,69.64,40.59,0.465
College 1,College1_029,5,0.62,79.08,37.83,0.465
College 1,College1_029,6,0.637,68.71,29.72,0.465
College 1,College1_029,7,0.737,79.03,30.26,0.465
College 1,College1_029,8,0.702,73.23,24.91,0.465
College 1,College1_029,9,0.719,76.74,24.31,0.465
College 1,College1_029,10,0.716,78.2,28.33,0.465
College 1,College1_030,1,0.73,70.71,69.17,0.785
College 1,College1_030,2,0.705,88.73,57.64,0.785
College 1,College1_030,3,0.723,74.83,44.28,0.785
College 1,College1_030,4,0.659,70.92,37.7,0.785
College 1,College1_030,5,0.721,84.39,32.16,0.785
College 1,College1_030,6,0.713,89.67,29.12,0.785
College 1,College1_030,7,0.701,84.93,24.53,0.785
College 1,College1_030,8,0.828,87.37,22.2,0.785
College 1,College1_030,9,0.799,86.17,27.14,0.785
College 1,College1_030,10,0.732,84.19,21.47,0.785
College 1,College1_031,1,0.692,79.33,72.62,0.769
College 1,College1_031,2,0.658,75.6,59.59,0.769
College 1,College1_031,3,0.653,77.57,47.91,0.769
College 1,College1_031,4,0.637,78.54,35.49,0.769
College 1,College1_031,5,0.553,72.77,31.48,0.769
College 1,College1_031,6,0.624,75.95,31.76,0.769
College 1,College1_031,7,0.65,74.13,25.43,0.769
College 1,College1_031,8,0.706,76.81,25.22,0.769
College 1,College1_031,9,0.705,73.8,25.57,0.769
College 1,College1_031,10,0.711,86.69,21.7,0.769
College 1,College1_032,1,0.715,82.38,70.69,0.793
College 1,College1_032,2,0.762,88.73,61.04,0.793
College 1,College1_032,3,0.652,75.73,43.58,0.793
College 1,College1_032,4,0.584,73.38,39.11,0.793
College 1,College1_032,5,0.595,72.4,34.6,0.793
College 1,College1_032,6,0.686,74.73,30.59,0.793
College 1,College1_032,7,0.624,73.4,26.92,0.793
College 1,College1_032,8,0.736,76.14,25.33,0.793
College 1,College1_032,9,0.746,81.63,24.5,0.793
College 1,College1_032,10,0.651,74.14,23.3,0.793
College 1,College1_033,1,0.641,84.62,77.16,0.648
College 1,College1_033,2,0.627,76.27,59.44,0.648
College 1,College1_033,3,0.605,74.46,46.45,0.648
College 1,College1_033,4,0.62,73.16,40.15,0.648
College 1,College1_033,5,0.589,73.53,36.01,0.648
College 1,College1_033,6,0.585,72.2,31.26,0.648
College 1,College1_033,7,0.573,75.12,29.5,0.648
College 1,College1_033,8,0.636,78.91,24.69,0.648
College 1,College1_033,9,0.69,74.4,25.53,0.648
College 1,College1_033,10,0.63,69.52,21.42,0.648
College 1,College1_034,1,0.746,81.96,71,0.836
College 1,College1_034,2,0.712,75.16,55.21,0.836
College 1,College1_034,3,0.713,76.17,46.65,0.836
College 1,College1_034,4,0.668,77.2,36.95,0.836
College 1,College1_034,5,0.674,76.26,33.06,0.836
College 1,College1_034,6,0.666,77.59,29.73,0.836
College 1,College1_034,7,0.691,79.66,25.39,0.836
College 1,College1_034,8,0.755,84.44,27.09,0.836
College 1,College1_034,9,0.781,83.21,23.64,0.836
College 1,College1_034,10,0.728,83.06,21.72,0.836
College 1,College1_035,1,0.386,67.74,82.9,0.822
College 1,College1_035,2,0.418,70.06,67.62,0.822
College 1,College1_035,3,0.383,63.16,52.07,0.822
College 1,College1_035,4,0.267,49.86,42.24,0.822
College 1,College1_035,5,0.208,55.39,35.59,0.822
College 1,College1_035,6,0.323,64.31,32.01,0.822
College 1,College1_035,7,0.293,55.5,28.95,0.822
College 1,College1_035,8,0.366,65.44,28.07,0.822
College 1,College1_035,9,0.347,63.76,26.68,0.822
College 1,College1_035,10,0.3,64.03,25.42,0.822
College 1,College1_036,1,0.549,80.76,76.69,0.801
College 1,College1_036,2,0.475,69.95,58.68,0.801
College 1,College1_036,3,0.488,68.53,52.74,0.801
College 1,College1_036,4,0.432,68.17,41.02,0.801
College 1,College1_036,5,0.435,62.2,34.33,0.801
College 1,College1_036,6,0.453,64.51,33.76,0.801
College 1,College1_036,7,0.447,72.91,27.71,0.801
College 1,College1_036,8,0.462,66.17,30.67,0.801
College 1,College1_036,9,0.507,66.64,27.06,0.801
College 1,College1_036,10,0.445,70.19,23.82,0.801
College 1,College1_037,1,0.769,79.67,72.67,0.383
College 1,College1_037,2,0.795,82.85,58.27,0.383
College 1,College1_037,3,0.724,79.86,48.61,0.383
College 1,College1_037,4,0.667,71.49,45.08,0.383
College 1,College1_037,5,0.634,71.67,34.35,0.383
College 1,College1_037,6,0.616,72.69,33.73,0.383
College 1,College1_037,7,0.776,77.77,29.23,0.383
College 1,College1_037,8,0.72,82.68,27.62,0.383
College 1,College1_037,9,0.756,79.8,28.64,0.383
College 1,College1_037,10,0.726,79.44,25.5,0.383
College 1,College1_038,1,0.59,77.53,76.18,0.618
College 1,College1_038,2,0.567,69.27,63.49,0.618
College 1,College1_038,3,0.57,71.31,49.58,0.618
College 1,College1_038,4,0.508,69.08,46.51,0.618
College 1,College1_038,5,0.489,65.05,36.9,0.618
College 1,College1_038,6,0.534,72.82,28.32,0.618
College 1,College1_038,7,0.606,72.98,30.56,0.618
College 1,College1_038,8,0.607,75.16,27.83,0.618
College 1,College1_038,9,0.568,68.19,28.24,0.618
College 1,College1_038,10,0.589,70.95,26.01,0.618
College 1,College1_039,1,0.652,72.45,71.58,0.276
College 1,College1_039,2,0.648,77.85,63.87,0.276
College 1,College1_039,3,0.627,66.4,50.32,0.276
College 1,College1_039,4,0.543,66.44,49.12,0.276
College 1,College1_039,5,0.509,62.78,37.34,0.276
College 1,College1_039,6,0.543,59.74,34.7,0.276
College 1,College1_039,7,0.578,68.43,34.32,0.276
College 1,College1_039,8,0.608,69.64,32.93,0.276
College 1,College1_039,9,0.651,78.13,31.32,0.276
College 1,College1_039,10,0.631,73.69,28.32,0.276
College 1,College1_040,1,0.757,75.25,74.17,0.516
College 1,College1_040,2,0.735,79.46,59.83,0.516
College 1,College1_040,3,0.689,79.23,45.92,0.516
College 1,College1_040,4,0.594,76.82,37.57,0.516
College 1,College1_040,5,0.653,74.15,34.97,0.516
College 1,College1_040,6,0.717,76.62,27.47,0.516
College 1,College1_040,7,0.753,75.55,28.99,0.516
College 1,College1_040,8,0.729,74.64,26.14,0.516
College 1,College1_040,9,0.733,77.25,24.12,0.516
College 1,College1_040,10,0.737,79.81,20.87,0.516
College 1,College1_041,1,0.697,80.75,73.95,0.768
College 1,College1_041,2,0.691,81.56,56.4,0.768
College 1,College1_041,3,0.616,76.13,46.33,0.768
College 1,College1_041,4,0.656,75.75,39.76,0.768
College 1,College1_041,5,0.573,70.14,30.42,0.768
College 1,College1_041,6,0.581,74.16,28.89,0.768
College 1,College1_041,7,0.65,72.66,29.04,0.768
College 1,College1_041,8,0.718,68.3,23.2,0.768
College 1,College1_041,9,0.662,79.2,25.1,0.768
College 1,College1_041,10,0.666,81.27,20.96,0.768
College 1,College1_042,1,0.958,91.53,62.47,0.474
College 1,College1_042,2,0.939,84.31,50.3,0.474
College 1,College1_042,3,0.908,93.11,42.32,0.474
College 1,College1_042,4,0.966,92.53,35.13,0.474
College 1,College1_042,5,0.852,81.31,32.75,0.474
College 1,College1_042,6,0.831,87.27,32.47,0.474
College 1,College1_042,7,0.88,84.63,27.48,0.474
College 1,College1_042,8,0.967,91.64,24.6,0.474
College 1,College1_042,9,0.944,89.17,23.27,0.474
College 1,College1_042,10,0.87,80.5,19.81,0.474
College 1,College1_043,1,0.855,80.62,71.82,0.618
College 1,College1_043,2,0.906,91.53,52.04,0.618
College 1,College1_043,3,0.819,88.3,44.63,0.618
College 1,College1_043,4,0.768,80.26,40.59,0.618
College 1,College1_043,5,0.737,70.86,32.77,0.618
College 1,College1_043,6,0.731,76.64,30.4,0.618
College 1,College1_043,7,0.791,86.97,24.94,0.618
College 1,College1_043,8,0.811,82.58,26.19,0.618
College 1,College1_043,9,0.834,79.7,23.73,0.618
College 1,College1_043,10,0.84,81.97,25.2,0.618
College 1,College1_044,1,0.669,74.99,74.38,0.349
College 1,College1_044,2,0.647,74.54,60.05,0.349
College 1,College1_044,3,0.66,75.71,48.34,0.349
College 1,College1_044,4,0.55,72.66,43.44,0.349
College 1,College1_044,5,0.567,70.65,34.99,0.349
College 1,College1_044,6,0.632,70.95,35.7,0.349
College 1,College1_044,7,0.583,72.41,29.43,0.349
College 1,College1_044,8,0.632,79.51,28.56,0.349
College 1,College1_044,9,0.676,73.38,27.1,0.349
College 1,College1_044,10,0.638,68.31,24.82,0.349
College 1,College1_045,1,0.729,80.36,71.63,0.796
College 1,College1_045,2,0.735,80.36,54.93,0.796
College 1,College1_045,3,0.718,80.53,46.45,0.796
College 1,College1_045,4,0.666,82.56,38.96,0.796
College 1,College1_045,5,0.672,74.49,30.85,0.796
College 1,College1_045,6,0.61,76.35,31.43,0.796
College 1,College1_045,7,0.666,81.83,25.8,0.796
College 1,College1_045,8,0.705,81.66,26.83,0.796
College 1,College1_045,9,0.774,83.54,24.81,0.796
College 1,College1_045,10,0.769,86.56,26.96,0.796
College 1,College1_046,1,0.503,61.53,82.08,0.451
College 1,College1_046,2,0.562,69.48,65.02,0.451
College 1,College1_046,3,0.465,59.43,52.57,0.451
College 1,College1_046,4,0.447,67.64,41.13,0.451
College 1,College1_046,5,0.392,62.46,37.95,0.451
College 1,College1_046,6,0.385,55.98,32.47,0.451
College 1,College1_046,7,0.445,63.31,35.38,0.451
College 1,College1_046,8,0.501,64.06,28.41,0.451
College 1,College1_046,9,0.498,68.21,27.36,0.451
College 1,College1_046,10,0.463,70.69,27.01,0.451
College 1,College1_047,1,0.75,78.86,73.42,0.564
College 1,College1_047,2,0.778,80.97,55.78,0.564
College 1,College1_047,3,0.795,80.51,44.66,0.564
College 1,College1_047,4,0.73,75.89,36.03,0.564
College 1,College1_047,5,0.668,76.39,30.42,0.564
College 1,College1_047,6,0.66,77.1,27.26,0.564
College 1,College1_047,7,0.662,71.05,28.39,0.564
College 1,College1_047,8,0.743,84.73,27.03,0.564
College 1,College1_047,9,0.767,79.78,21.53,0.564
College 1,College1_047,10,0.716,77.94,25.54,0.564
College 1,College1_048,1,0.773,83.74,70.27,0.78
College 1,College1_048,2,0.766,83.33,54.91,0.78
College 1,College1_048,3,0.707,79.07,44.67,0.78
College 1,College1_048,4,0.736,84.16,33.96,0.78
College 1,College1_048,5,0.62,78.88,31.63,0.78
College 1,College1_048,6,0.694,72.03,29.46,0.78
College 1,College1_048,7,0.736,86.12,27.2,0.78
College 1,College1_048,8,0.724,73.75,23.16,0.78
College 1,College1_048,9,0.795,87.71,26.6,0.78
College 1,College1_048,10,0.718,84.61,21.54,0.78
College 1,College1_049,1,0.664,73.87,71.14,0.5
College 1,College1_049,2,0.711,83.39,57.83,0.5
College 1,College1_049,3,0.657,76.8,44.75,0.5
College 1,College1_049,4,0.627,72.04,39.19,0.5
College 1,College1_049,5,0.617,75.56,37.45,0.5
College 1,College1_049,6,0.611,71.17,34.93,0.5
College 1,College1_049,7,0.637,78.38,26.47,0.5
College 1,College1_049,8,0.686,77.35,25.76,0.5
College 1,College1_049,9,0.695,75.87,25.45,0.5
College 1,College1_049,10,0.659,76.45,25.02,0.5
College 1,College1_050,1,0.707,74.33,67.4,0.151
College 1,College1_050,2,0.784,78.64,56.35,0.151
College 1,College1_050,3,0.798,81.76,48.59,0.151
College 1,College1_050,4,0.78,77.01,41.39,0.151
College 1,College1_050,5,0.658,72.34,33.35,0.151
College 1,College1_050,6,0.72,72.33,34.98,0.151
College 1,College1_050,7,0.73,75.45,28.43,0.151
College 1,College1_050,8,0.78,75.24,28.83,0.151
College 1,College1_050,9,0.871,83.2,30.82,0.151
College 1,College1_050,10,0.719,72.39,23.54,0.151
College 2,College2_001,1,0.661,72.32,72.63,0.265
College 2,College2_001,2,0.656,70.64,63.53,0.265
College 2,College2_001,3,0.62,75.07,46.75,0.265
College 2,College2_001,4,0.578,72.47,49.99,0.265
College 2,College2_001,5,0.55,64.32,40.36,0.265
College 2,College2_001,6,0.6,71.3,34.6,0.265
College 2,College2_001,7,0.624,66.83,30.98,0.265
College 2,College2_001,8,0.557,62.18,29.37,0.265
College 2,College2_001,9,0.673,70.44,28.12,0.265
College 2,College2_001,10,0.631,74.52,27.09,0.265
College 2,College2_002,1,0.571,68.36,77.93,0.573
College 2,College2_002,2,0.595,68.76,61.75,0.573
College 2,College2_002,3,0.52,72.46,50.16,0.573
College 2,College2_002,4,0.54,69.26,43.82,0.573
College 2,College2_002,5,0.507,67.48,36.08,0.573
